"","time","lwp","cth","trel"
"681",42324,11.1461019515991,2500,-0.243333333333333
"682",42328,11.1461019515991,2500,-0.242222222222222
"683",42332,19.1806621551514,2500,-0.241111111111111
"684",42336,19.1806621551514,2500,-0.24
"685",42340,19.1806621551514,2530,-0.238888888888889
"686",42344,19.1806621551514,2530,-0.237777777777778
"687",42348,19.1806621551514,2560,-0.236666666666667
"688",42352,19.5541858673096,2590,-0.235555555555556
"689",42356,19.5541858673096,2590,-0.234444444444444
"690",42360,19.5541858673096,2620,-0.233333333333333
"691",42364,19.5541858673096,2620,-0.232222222222222
"692",42368,19.5541858673096,2590,-0.231111111111111
"693",42372,30.0428581237793,2590,-0.23
"694",42376,30.0428581237793,2590,-0.228888888888889
"695",42380,30.0428581237793,2590,-0.227777777777778
"696",42384,30.0428581237793,2590,-0.226666666666667
"697",42388,30.0428581237793,2590,-0.225555555555556
"698",42392,34.6778602600098,2620,-0.224444444444444
"699",42396,34.6778602600098,2620,-0.223333333333333
"700",42400,34.6778602600098,2620,-0.222222222222222
"701",42404,34.6778602600098,2650,-0.221111111111111
"702",42408,34.6778602600098,2650,-0.22
"703",42412,46.288631439209,2650,-0.218888888888889
"704",42416,46.288631439209,2650,-0.217777777777778
"705",42420,46.288631439209,2650,-0.216666666666667
"706",42424,46.288631439209,2650,-0.215555555555556
"707",42428,46.288631439209,2620,-0.214444444444444
"708",42432,46.288631439209,2620,-0.213333333333333
"709",42436,46.288631439209,2620,-0.212222222222222
"710",42440,46.288631439209,2590,-0.211111111111111
"711",42444,39.699520111084,2560,-0.21
"712",42448,39.699520111084,2560,-0.208888888888889
"713",42452,39.699520111084,2530,-0.207777777777778
"714",42456,39.699520111084,2500,-0.206666666666667
"715",42460,39.699520111084,2470,-0.205555555555556
"716",42464,39.699520111084,2470,-0.204444444444444
"717",42468,39.699520111084,2440,-0.203333333333333
"718",42472,39.699520111084,2410,-0.202222222222222
"719",42476,39.699520111084,2380,-0.201111111111111
"720",42480,39.699520111084,2350,-0.2
"721",42484,16.4197044372559,2350,-0.198888888888889
"722",42488,16.4197044372559,2350,-0.197777777777778
"723",42492,16.4197044372559,2350,-0.196666666666667
"724",42496,16.4197044372559,2350,-0.195555555555556
"725",42500,16.4197044372559,2350,-0.194444444444444
"726",42504,16.4197044372559,2380,-0.193333333333333
"727",42508,16.4197044372559,2380,-0.192222222222222
"728",42512,17.1295757293701,2410,-0.191111111111111
"729",42516,17.1295757293701,2440,-0.19
"730",42520,17.1295757293701,2470,-0.188888888888889
"731",42524,17.1295757293701,2470,-0.187777777777778
"732",42528,17.1295757293701,2470,-0.186666666666667
"733",42532,17.1295757293701,2470,-0.185555555555556
"734",42536,17.1295757293701,2470,-0.184444444444444
"735",42540,17.1295757293701,2440,-0.183333333333333
"736",42544,10.257360458374,2440,-0.182222222222222
"737",42548,10.257360458374,2410,-0.181111111111111
